Preço,Cidade,Bairro,Endereço,Numero,Dorms,Banheiros,Area,Vagas,Titulo
"R$ 800.000
                    



                  Condomínio:
                  
                      R$ 727",Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,560,"3
              

                Quartos","2
              

                Banheiros","70
              

                m²","1
                

                  Vaga","Apartamento com 3 Quartos à Venda, 70m²"
R$ 950.000,Caraguatatuba,Pontal de Santa Marina,Avenida dos Eder Silva Rodrigues Alves,691,"4
              

                Quartos","5
              

                Banheiros","280
              

                m²","6
                

                  Vagas","Casa com 4 Quartos à Venda, 280m²"
R$ 580.000,Caraguatatuba,Cidade Jardim,N/I,N/I,"2
              

                Quartos","1
              

                Banheiro","178
              

                m²","8
                

                  Vagas","Casa com 2 Quartos à Venda, 178m²"
R$ 800.000,Caraguatatuba,Capricórnio II,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","280
              

                m²","2
                

                  Vagas","Casa com 4 Quartos à Venda, 280m²"
"R$ 650.000
                        
Preço abaixo do mercado",Caraguatatuba,Porto Novo,N/I,N/I,"3
              

                Quartos","4
              

                Banheiros","280
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 280m²"
R$ 795.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"2
              

                Quartos","3
              

                Banheiros","126
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 126m²"
R$ 670.000,Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","70
              

                m²","2
                

                  Vagas","Casa com 3 Quartos à Venda, 70m²"
R$ 950.000,Caraguatatuba,Martim de Sa,N/I,N/I,"4
              

                Quartos","3
              

                Banheiros","170
              

                m²","4
                

                  Vagas","Casa com 4 Quartos à Venda, 170m²"
R$ 799.000,Caraguatatuba,Praia Das Palmeiras,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","214
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 214m²"
R$ 800.000,Caraguatatuba,Sumaré,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","300
              

                m²","4
                

                  Vagas","Casa de condomínio com 3 Quartos à Venda, 300m²"
"R$ 750.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 200",Caraguatatuba,Massaguaçu,Rua Angra dos Reis,173,"3
              

                Quartos","1
              

                Banheiro","184
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 184m²"
R$ 1.500.000,Caraguatatuba,Indaiá,Avenida Prefeito Geraldo Nogueira da Silva,1010,"4
              

                Quartos","4
              

                Banheiros","156
              

                m²","2
                

                  Vagas","Apartamento com 4 Quartos à Venda, 156m²"
R$ 560.000,Caraguatatuba,Travessão,N/I,N/I,"3
              

                Quartos","1
              

                Banheiro","145
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 145m²"
"R$ 600.000
                        
Preço abaixo do mercado





                  Condomínio:
                  
                      R$ 242",Caraguatatuba,Massaguaçu,Alameda José Jeraissati,133,"2
              

                Quartos","1
              

                Banheiro","182
              

                m²","2
                

                  Vagas","Casa com 2 Quartos à Venda, 182m²"
R$ 750.000,Caraguatatuba,Martim de Sa,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","102
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 102m²"
R$ 1.200.000,Caraguatatuba,Jardim Gaivotas,Rua Falcão,1375,"3
              

                Quartos","4
              

                Banheiros","361
              

                m²","4
                

                  Vagas","Casa com 3 Quartos à Venda, 361m²"
R$ 1.590.000,Caraguatatuba,Praia Das Palmeiras,Avenida Geraldo Nogueira da Silva,51,"5
              

                Quartos","6
              

                Banheiros","315
              

                m²","6
                

                  Vagas","Casa com 5 Quartos à Venda, 315m²"
R$ 1.650.000,Caraguatatuba,Jardim Britânia,Rua Ademar Martins,132335,"3
              

                Quartos","2
              

                Banheiros","282
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 282m²"
R$ 900.000,Caraguatatuba,Indaiá,N/I,N/I,"3
              

                Quartos","2
              

                Banheiros","168
              

                m²","3
                

                  Vagas","Casa com 3 Quartos à Venda, 168m²"
R$ 750.000,Caraguatatuba,Balneário dos Golfinhos,N/I,N/I,"3
              

                Quartos","3
              

                Banheiros","211
              

                m²","6
                

                  Vagas","Casa com 3 Quartos à Venda, 211m²"
